i	mooneys	solution	labelsEn	labelsNl
88	img/tt/136tt.jpg	img/gs/136gs.jpg	frog, toad, bullfrog	kikker, pad
89	img/tt/137tt.jpg	img/gs/137gs.jpg	camel, dromedary	kameel, dromedaris 
90	img/tt/139tt.jpg	img/gs/139gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
91	img/tt/140tt.jpg	img/gs/140gs.jpg	forks, cutlery, kitchenware	vork, vorken, bestek
92	img/tt/141tt.jpg	img/gs/141gs.jpg	rhinoceros, rhino, hippopotamus	neushoorn, nijlpaard
93	img/tt/143tt.jpg	img/gs/143gs.jpg	pyramid	piramide
94	img/tt/144tt.jpg	img/gs/144gs.jpg	camel, dromedary	kameel, dromedaris
95	img/tt/145tt.jpg	img/gs/145gs.jpg	frog, toad, bullfrog	kikker, pad
96	img/tt/151tt.jpg	img/gs/151gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
97	img/tt/155tt.jpg	img/gs/155gs.jpg	ostrich, emu, bird	struisvogel, emoe, vogel
98	img/tt/159tt.jpg	img/gs/159gs.jpg	snake, python, mamba, cobra, serpent	slang, ratelslang, python, mamba, cobra, boa, adder
99	img/tt/160tt.jpg	img/gs/160gs.jpg	cannon, artillery, mortar, battery, gunnery, weapon	kanon, wapen, artillerie
100	img/tt/161tt.jpg	img/gs/161gs.jpg	canoe, kayak, kayakers	kayak, kano
101	img/tt/163tt.jpg	img/gs/163gs.jpg	frog, toad, bullfrog	kikker, pad
102	img/tt/167tt.jpg	img/gs/167gs.jpg	bonsai, tree, bonsai tree	boom, bonsai, bonsai boom
103	img/tt/168tt.jpg	img/gs/168gs.jpg	buddha, statue, buddha statue	standbeeld, boeddha, boeddha standbeeld
104	img/tt/169tt.jpg	img/gs/169gs.jpg	spider	spin
105	img/tt/173tt.jpg	img/gs/173gs.jpg	spider	spin
106	img/tt/174tt.jpg	img/gs/174gs.jpg	chopper, helicopter	helikopter
107	img/tt/175tt.jpg	img/gs/175gs.jpg	fly, fruitfly	vlieg, fruitvlieg
108	img/tt/177tt.jpg	img/gs/177gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
109	img/tt/178tt.jpg	img/gs/178gs.jpg	bird, cormorant, duck	eend, vogel
110	img/tt/179tt.jpg	img/gs/179gs.jpg	flamingo, flamingos	flamingo, flamingo's 
111	img/tt/182tt.jpg	img/gs/182gs.jpg	bath, tub, bathtub	bad, badkuip
112	img/tt/184tt.jpg	img/gs/184gs.jpg	sandwich, finger, eating, hand, bread	vinger, duim, hand, brood, boterham, eten
113	img/tt/185tt.jpg	img/gs/185gs.jpg	tick, spider	teek, spin
114	img/tt/186tt.jpg	img/gs/186gs.jpg	seal, sea lion, walrus	zeeleeuw, zeehond, walrus
115	img/tt/187tt.jpg	img/gs/187gs.jpg	owl	uil
116	img/tt/188tt.jpg	img/gs/188gs.jpg	sunflower, flower	bloem, zonnebloem
117	img/tt/189tt.jpg	img/gs/189gs.jpg	hammock,	hangmat
118	img/tt/190tt.jpg	img/gs/190gs.jpg	emu, ostrich, bird, turkey, ibis	struisvogel, emoe, vogel, kalkoen 
119	img/tt/194tt.jpg	img/gs/194gs.jpg	harp, woman	harp, vrouw, muziekinstrument, harpspeelster
120	img/tt/195tt.jpg	img/gs/195gs.jpg	chicken, cock, rooster	kip, haan
121	img/tt/197tt.jpg	img/gs/197gs.jpg	camel, dromedary	kameel, dromedaris 
122	img/tt/203tt.jpg	img/gs/203gs.jpg	butterfly, flower	vlinder, bloem
123	img/tt/204tt.jpg	img/gs/204gs.jpg	bug, insect, beetle	insect, kever, tor
124	img/tt/205tt.jpg	img/gs/205gs.jpg	reindeer, deer, moose, elk, wapiti, muntjac, chital, antlers	rendier, eland, hert, wapiti, gewei
125	img/tt/206tt.jpg	img/gs/206gs.jpg	ant, insect	mier, insect
126	img/tt/207tt.jpg	img/gs/207gs.jpg	house, shed, stable, building, barn, hut	huis, stal, gebouw, hut, herberg, 
127	img/tt/208tt.jpg	img/gs/208gs.jpg	giraffe	giraf
128	img/tt/209tt.jpg	img/gs/209gs.jpg	wheelchair	rolstoel
129	img/tt/210tt.jpg	img/gs/210gs.jpg	butterfly	vlinder
130	img/tt/212tt.jpg	img/gs/212gs.jpg	gun, rifle, AK47, Kalasjnikov, assault rifle, weapon	geweer, wapen, AK47, Kalasjnikov
131	img/tt/216tt.jpg	img/gs/216gs.jpg	tractor, caterpillar, truck, bulldozer	tractor, bulldozer
132	img/tt/220tt.jpg	img/gs/220gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
133	img/tt/221tt.jpg	img/gs/221gs.jpg	duck, goose, fowl, swan	eend, gans, zwaan, kuiken, kuikentje, kip
134	img/tt/222tt.jpg	img/gs/222gs.jpg	bath, tub, bathtub, couple, man, woman	bad, badkuip, koppel, vrouw, man
135	img/tt/230tt.jpg	img/gs/230gs.jpg	butterfly	vlinder
136	img/tt/232tt.jpg	img/gs/232gs.jpg	penguin	pinguïn
137	img/tt/235tt.jpg	img/gs/235gs.jpg	hotdog	hotdog
138	img/tt/236tt.jpg	img/gs/236gs.jpg	owl	uil
139	img/tt/237tt.jpg	img/gs/237gs.jpg	dog, greyhound, hound	hond, windhond
140	img/tt/238tt.jpg	img/gs/238gs.jpg	canoe, kayak, boat, river	kano, kayak, boot, rivier, meer
141	img/tt/239tt.jpg	img/gs/239gs.jpg	shoe, sports shoe, sneakers, running shoes, footwear, pumps	schoen, schoenen, loopschoenen, sneakers, sportschoenen 
142	img/tt/241tt.jpg	img/gs/241gs.jpg	bug, insect, beetle, stink bug	insect, kever, tor
143	img/tt/243tt.jpg	img/gs/243gs.jpg	umbrella, sunshade	paraplu, parasol
144	img/tt/244tt.jpg	img/gs/244gs.jpg	tipi, teepee, wigwam, tent, indian tent	tipi, tent, Indiaanse tent,teepee, wigwam
145	img/tt/245tt.jpg	img/gs/245gs.jpg	house, villa, mansion	huis, villa
146	img/tt/246tt.jpg	img/gs/246gs.jpg	boat, ship, sailboat, sails, schooner, skiff, bateau, yacht	boot, schip, zeilboot, zeilen, jacht
147	img/tt/249tt.jpg	img/gs/249gs.jpg	bat	vleermuis
148	img/tt/250tt.jpg	img/gs/250gs.jpg	watch	horloge, uurwerk, klok
149	img/tt/253tt.jpg	img/gs/253gs.jpg	bug, insect, beetle	insect, kever, tor
150	img/tt/254tt.jpg	img/gs/254gs.jpg	train	trein
151	img/tt/255tt.jpg	img/gs/255gs.jpg	tuba, trumpet, brass, trombone, sousaphone, contrabass bugles, bugles, horn, french horn, euphonium, tenor horn, baritone horn	tuba, trompet, trombone, hoorn, blaasinstrument, sousafoon
152	img/tt/257tt.jpg	img/gs/257gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
153	img/tt/260tt.jpg	img/gs/260gs.jpg	bug, insect, beetle	insect, kever, tor
154	img/tt/261tt.jpg	img/gs/261gs.jpg	canoe, kayak, boat, river, kayaker	kano, kayak, rivier
155	img/tt/263tt.jpg	img/gs/263gs.jpg	mushroom, fungi, fungus	champignon, fungi, fungus, paddenstoel
156	img/tt/264tt.jpg	img/gs/264gs.jpg	duck, goose, fowl, swan	eend, gans, kip, zwaan
157	img/tt/265tt.jpg	img/gs/265gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, jachtluipaard, luipaard, poema, cheetah, tijger, leeuw, lynx, panter, katachtige
158	img/tt/266tt.jpg	img/gs/266gs.jpg	bird, hummingbird	vogel, kolibrie
159	img/tt/269tt.jpg	img/gs/269gs.jpg	kangaroo, wallaby, wallaroo	kangeroe, wallaby, wallaroe
160	img/tt/270tt.jpg	img/gs/270gs.jpg	reindeer, deer, moose, elk, wapiti, muntjac, chital, antler	rendier, eland, hert, wapiti, gewei
161	img/tt/273tt.jpg	img/gs/273gs.jpg	braces, teeth, dental, fingers, hand	beugel, blokjes, tanden, tand, vingers, hand, mond 
162	img/tt/274tt.jpg	img/gs/274gs.jpg	spider	spin
163	img/tt/275tt.jpg	img/gs/275gs.jpg	watch	horloge, uurwerk, klok
164	img/tt/278tt.jpg	img/gs/278gs.jpg	dragonfly	libel, waterjuffer
165	img/tt/279tt.jpg	img/gs/279gs.jpg	bear, koala, koala bear	beer, koalabeer, koala
166	img/tt/282tt.jpg	img/gs/282gs.jpg	orca, whale, killer whale, dolphin	orka, walvis, dolfijn
167	img/tt/283tt.jpg	img/gs/283gs.jpg	iguana, iguanadon, lizard	salamander, hagedis
168	img/tt/286tt.jpg	img/gs/286gs.jpg	bowling, ball, bowling ball, bowling alley	bowling, bal, bowlingbal, bowlingbaan 
169	img/tt/289tt.jpg	img/gs/289gs.jpg	reindeer, deer, moose, elk, wapiti, muntjac, chital, antler	rendier, eland, hert, wapiti, gewei
170	img/tt/290tt.jpg	img/gs/290gs.jpg	flower, hibiscus	bloem, hibiscus
171	img/tt/296tt.jpg	img/gs/296gs.jpg	hospital, bed, hospital bed	bed, ziekenhuis, ziekenhuisbed
172	img/tt/297tt.jpg	img/gs/297gs.jpg	melon, watermelon	meloen, watermeloen
173	img/tt/299tt.jpg	img/gs/299gs.jpg	duck, goose, fowl, swan	eend, gans, zwaan, kip
174	img/tt/300tt.jpg	img/gs/300gs.jpg	woman, human, person, headscarf, sitting, praying	vrouw, mens, person, zitten, bidden, sjaal
175	img/tt/301tt.jpg	img/gs/301gs.jpg	bells, clocks	klokken, bellen
176	img/tt/303tt.jpg	img/gs/303gs.jpg	snail, slug	slak, slakkenhuis
177	img/tt/306tt.jpg	img/gs/306gs.jpg	frog, toad, bullfrog	kikker, pad
178	img/tt/307tt.jpg	img/gs/307gs.jpg	hawksbill, tortoise, turtle, sea turtle	schildpad, zeeschildpad, landschildpad 
179	img/tt/308tt.jpg	img/gs/308gs.jpg	horse	paard, pony, hengst, merrie, veulen
180	img/tt/312tt.jpg	img/gs/312gs.jpg	conch, shell, sea	schelp, slakkenhuis, zeeschelp, zee
181	img/tt/314tt.jpg	img/gs/314gs.jpg	shoe, sports shoe, sneakers, running shoes, footwear, pumps	schoen, schoenen, loopschoenen, sneakers, sportschoenen 
182	img/tt/315tt.jpg	img/gs/315gs.jpg	cat, pussy, feline	kat, poes, kitten, kater, kattin, katachtige
183	img/tt/316tt.jpg	img/gs/316gs.jpg	bath, tub, bathtub, woman, girl	bad, badkuip, vrouw, meisje, badkamer
184	img/tt/317tt.jpg	img/gs/317gs.jpg	pie, cake, birthday cake	taart, cake, verjaardagstaart
185	img/tt/318tt.jpg	img/gs/318gs.jpg	car, automobile, seat, steering wheel	auto, autostuur, zitplaats, zetel, autozetel, bestuurszetel, chauffeurszetel 
186	img/tt/319tt.jpg	img/gs/319gs.jpg	donkeys, horses	ezels, paarden
187	img/tt/322tt.jpg	img/gs/322gs.jpg	hat, cowboy, cowboy hat, stetson	hoed, cowboyhoed, cowboy
188	img/tt/325tt.jpg	img/gs/325gs.jpg	lightning, bolt, firebolt, storm, thunderstorm, lightning bolt	bliksem, storm, lichtflits, flits, donderstorm
189	img/tt/327tt.jpg	img/gs/327gs.jpg	frog, toad, bullfrog	kikker, pad
190	img/tt/328tt.jpg	img/gs/328gs.jpg	ape, monkey, chimpanzee, chimp, bonobo	aap, chimpansee, gorilla, bonobo
191	img/tt/329tt.jpg	img/gs/329gs.jpg	squid, tentacles, octopus	octopus, inktvis, tentakels 
192	img/tt/331tt.jpg	img/gs/331gs.jpg	ape, monkey, gorilla	aap, gorilla
193	img/tt/332tt.jpg	img/gs/332gs.jpg	iguana, iguanadon, lizard	leguaan, hagedis, salamander
194	img/tt/333tt.jpg	img/gs/333gs.jpg	bird, hummingbird	vogel, kolibrie
195	img/tt/334tt.jpg	img/gs/334gs.jpg	orca, whale, killer whale, dolphin	orka, walvis, dolfijn
196	img/tt/335tt.jpg	img/gs/335gs.jpg	bee, wasp, hornet	bij, wesp, hommel, dar
197	img/tt/336tt.jpg	img/gs/336gs.jpg	bug, insect, beetle, cockroach	insect, kever, tor
198	img/tt/337tt.jpg	img/gs/337gs.jpg	retriever, dog, golden retriever, labrador, hound	hond, labrador, pup, puppy, retriever, golden retriever
199	img/tt/338tt.jpg	img/gs/338gs.jpg	donkey	ezel, paard, muilezel
200	img/tt/340tt.jpg	img/gs/340gs.jpg	bulldozer, tractor, caterpillar, truck	tractor, bulldozer
201	img/tt/341tt.jpg	img/gs/341gs.jpg	squid, tentacles, octopus	octopus, inktvis, tentakels 
202	img/tt/343tt.jpg	img/gs/343gs.jpg	frog, toad, bullfrog	kikker, pad
203	img/tt/344tt.jpg	img/gs/344gs.jpg	tank, armoured vehicle	tank, legervoertuig
204	img/tt/346tt.jpg	img/gs/346gs.jpg	goat, buck	geit, bok
205	img/tt/347tt.jpg	img/gs/347gs.jpg	cannon, artillery, mortar, battery, gunnery, weapon	kanon, wapen, artillerie
206	img/tt/348tt.jpg	img/gs/348gs.jpg	canoe, kayak, boat, river, kayaker	kano, kayak, boot, rivier, meer
207	img/tt/350tt.jpg	img/gs/350gs.jpg	squid, tentacles, octopus	octopus, inktvis, tentakels 
208	img/tt/351tt.jpg	img/gs/351gs.jpg	bananas	bananen
209	img/tt/353tt.jpg	img/gs/353gs.jpg	penguins	pinguïns
210	img/tt/356tt.jpg	img/gs/356gs.jpg	snail, slug	slak, slakkenhuis
211	img/tt/357tt.jpg	img/gs/357gs.jpg	hedgehog	egel
212	img/tt/358tt.jpg	img/gs/358gs.jpg	camel, dromedary	kameel, dromedaris
213	img/tt/360tt.jpg	img/gs/360gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzly, grizzly beer
214	img/tt/364tt.jpg	img/gs/364gs.jpg	okapi	okapi
215	img/tt/365tt.jpg	img/gs/365gs.jpg	flamingo, flamingos	flamingo, flamingo's 
216	img/tt/367tt.jpg	img/gs/367gs.jpg	tuba, trumpet, brass, trombone, sousaphone, contrabass bugles, bugles, horn, french horn, euphonium, tenor horn, baritone horn	tuba, trompet, trombone, hoorn, blaasinstrument, sousafoon
217	img/tt/368tt.jpg	img/gs/368gs.jpg	saddle, horse, horse saddle, leather	zadel, paard, leer, paardrijzadel
218	img/tt/369tt.jpg	img/gs/369gs.jpg	panda, bear, panda bear	beer, pandabeer, panda
219	img/tt/370tt.jpg	img/gs/370gs.jpg	penguin	pinguïn
220	img/tt/371tt.jpg	img/gs/371gs.jpg	cactus	cactus
221	img/tt/372tt.jpg	img/gs/372gs.jpg	tuba, trumpet, brass, trombone, sousaphone, contrabass bugles, bugles, horn, french horn, euphonium, tenor horn, baritone horn	tuba, trompet, trombone, hoorn, blaasinstrument, sousafoon
222	img/tt/373tt.jpg	img/gs/373gs.jpg	frog, toad, bullfrog	kikker, pad
223	img/tt/374tt.jpg	img/gs/374gs.jpg	ape, monkey, gorilla	aap, gorilla
224	img/tt/377tt.jpg	img/gs/377gs.jpg	flower, lily, lilyflower, lily pads, water lilies	bloem, lelie, waterlelies
225	img/tt/378tt.jpg	img/gs/378gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, jachtluipaard, luipaard, poema, cheetah, tijger, leeuw, lynx, panter, katachtige
226	img/tt/379tt.jpg	img/gs/379gs.jpg	crab, crab fish, lobster, crayfish, crustacean, crawfish	krab, kreeft, rivierkreeft, schaaldier
227	img/tt/380tt.jpg	img/gs/380gs.jpg	billiards, snooker, cue sports, pool	biljart, snooker, pool
228	img/tt/381tt.jpg	img/gs/381gs.jpg	camel, dromedary	kameel, dromedaris 
229	img/tt/382tt.jpg	img/gs/382gs.jpg	teapot, kettle, pot	ketel, theepot 
230	img/tt/383tt.jpg	img/gs/383gs.jpg	squirrel, chipmunk, marmot	eekhoorn, muis, hamster, marmot, cavia
231	img/tt/386tt.jpg	img/gs/386gs.jpg	gerenuk, gazelle, giraffe gazelle, antelope, deer	gazelle, antilope, hert, gerenoek
232	img/tt/387tt.jpg	img/gs/387gs.jpg	billiards, snooker, cue sports, pool	biljart, snooker, pool
233	img/tt/388tt.jpg	img/gs/388gs.jpg	frog, toad, bullfrog	kikker, pad
234	img/tt/390tt.jpg	img/gs/390gs.jpg	horse, jockey, horserider	paard, ruiter, paardrijden
235	img/tt/391tt.jpg	img/gs/391gs.jpg	basketball, ring, basket, hoop, backboard	basketbalring, basketbal, basket, ring 
236	img/tt/395tt.jpg	img/gs/395gs.jpg	orca, whale, killer whale, dolphin	orka, walvis, dolfijn
237	img/tt/396tt.jpg	img/gs/396gs.jpg	ape, monkey, chimpanzee, chimp, bonobo, gorilla	aap, chimpansee, gorilla, bonobo
238	img/tt/398tt.jpg	img/gs/398gs.jpg	dog, greyhound, hound	hond, windhond
239	img/tt/400tt.jpg	img/gs/400gs.jpg	knifes, kitchen	messen, keukenmessen, keuken
